,latitude,longitude,population_est
0,31.529,35.094,706508
1,31.768,35.213,419108
2,32.221,35.254,380961
3,31.9,35.204,348110
4,32.459,35.3,311231
5,31.705,35.203,216114
6,32.312,35.027,182053
7,32.19,34.971,110800
8,32.083,35.18,70727
9,32.322,35.369,64719
10,31.867,35.45,52154
